109,72,95,194
109,72,95,194
110,71,95,194
108,66,100,204
109,67,100,204
113,68,100,204
117,68,100,204
120,74,95,194
118,74,95,194
116,74,95,194
113,73,95,194
111,67,100,204
111,66,100,204
116,67,100,204
126,67,100,204
129,64,100,204
133,64,100,204
136,63,100,204
139,62,100,204
144,66,95,194
143,58,100,204
145,58,100,204
145,58,100,204
143,56,100,204
140,56,100,204
136,57,100,204
128,56,100,204
121,51,105,214
116,52,105,214
114,52,105,214
112,54,105,214
109,51,105,214
105,52,105,214
94,52,105,214
87,51,105,214
82,50,105,214
77,51,105,214
73,54,105,214
72,55,105,214
72,57,105,214
72,62,105,214
72,64,105,214
74,70,100,204
73,72,100,204
70,71,100,204
66,71,100,204
64,71,100,204
63,70,100,204
63,73,95,194
65,68,95,194
71,69,90,185
74,64,90,185
81,59,90,185
88,57,90,185
93,48,95,194
108,45,95,194
112,43,95,194
115,40,95,194
115,40,95,194
114,42,95,194
107,49,95,194
102,58,95,194
99,64,95,194
97,69,95,194
96,73,95,194
95,81,95,194
95,84,95,194
97,88,95,194
102,90,95,194
108,90,95,194
113,87,95,194
118,83,95,194
124,62,100,204
125,58,100,204
130,40,100,204
129,31,100,204
127,9,105,214
110,5,105,214
100,-4,105,214
82,-8,110,225
71,-8,115,236
64,9,115,236
61,27,115,236
59,47,115,236
60,72,115,236
64,87,110,225
68,109,105,214
73,116,105,214
79,118,105,214
86,119,105,214
104,120,105,214
107,115,105,214
114,111,105,214
119,90,110,225
120,79,110,225
123,75,110,225
122,50,110,225
121,33,110,225
115,25,110,225
110,12,110,225
95,7,110,225
87,3,110,225
73,-4,115,236
58,-1,115,236
59,25,110,225
61,50,105,214
64,76,105,214
69,93,105,214
76,98,105,214
87,103,105,214
92,104,105,214
97,103,105,214
97,88,110,225
99,83,110,225
101,74,110,225
102,68,110,225
102,59,110,225
